,amount,bought_amount,close,high,low,open,sold_amount,volume,datetime,instrument_id,exchange_id
390,31378095.0,14668431.0,8.21,8.26,8.0,8.12,16709664.0,3862333.0,2011-08-19,600288,SH
391,27082660.0,14255505.0,8.27,8.32,8.16,8.18,12827155.0,3284770.0,2011-08-22,600288,SH
392,38554892.0,20692955.0,8.51,8.53,8.22,8.25,17861937.0,4601260.0,2011-08-23,600288,SH
393,65499369.0,30542094.5,8.59,8.68,8.39,8.55,34957274.5,7648534.0,2011-08-24,600288,SH
394,163316123.0,99995427.0,9.22,9.28,8.52,8.55,63320696.0,18333736.0,2011-08-25,600288,SH
395,290266819.0,197967057.5,9.69,9.98,8.98,9.05,92299761.5,31179578.0,2011-08-26,600288,SH
396,257431215.0,155688821.0,9.29,9.76,9.28,9.5,101742394.0,27159419.0,2011-08-29,600288,SH
397,115184527.0,53484768.0,9.42,9.44,9.18,9.26,61699759.0,12385365.0,2011-08-30,600288,SH
398,169050962.0,101568754.0,9.31,9.66,9.21,9.44,67482208.0,17940173.0,2011-08-31,600288,SH
399,107700667.0,62722092.0,9.14,9.42,9.12,9.25,44978575.0,11641737.0,2011-09-01,600288,SH
400,45500737.0,21157123.0,9.03,9.22,8.88,9.06,24343614.0,5023535.0,2011-09-02,600288,SH
401,57914638.0,35548244.0,8.89,9.14,8.85,8.88,22366394.0,6410620.0,2011-09-05,600288,SH
402,37833383.0,15614532.5,8.57,8.88,8.38,8.73,22218850.5,4385701.0,2011-09-06,600288,SH
403,36477875.0,19989461.0,8.72,8.78,8.59,8.6,16488414.0,4194768.0,2011-09-07,600288,SH
404,32349537.0,14312428.0,8.7,8.86,8.69,8.79,18037109.0,3680655.0,2011-09-08,600288,SH
405,25881922.0,9195732.0,8.49,8.77,8.48,8.75,16686190.0,3012746.0,2011-09-09,600288,SH
406,22741975.0,11578821.0,8.47,8.54,8.28,8.33,11163154.0,2696193.0,2011-09-13,600288,SH
407,18241469.0,9423347.0,8.54,8.56,8.34,8.55,8818122.0,2156050.0,2011-09-14,600288,SH
408,17674963.0,7977747.5,8.5,8.64,8.49,8.55,9697215.5,2062099.0,2011-09-15,600288,SH
409,20213994.0,9670960.0,8.53,8.61,8.5,8.53,10543034.0,2365084.0,2011-09-16,600288,SH
410,25681401.0,11724153.0,8.38,8.55,8.36,8.48,13957248.0,3039366.0,2011-09-19,600288,SH
411,20087360.0,9723979.0,8.43,8.5,8.28,8.35,10363381.0,2394690.0,2011-09-20,600288,SH
412,62968646.0,42849501.0,8.84,8.9,8.36,8.42,20119145.0,7237664.0,2011-09-21,600288,SH
413,31011844.0,12489170.0,8.59,8.8,8.58,8.71,18522674.0,3564672.0,2011-09-22,600288,SH
414,69823143.0,38903779.0,8.83,8.86,8.35,8.44,30919364.0,8015380.0,2011-09-23,600288,SH
415,74453270.0,46645244.0,8.92,9.02,8.71,8.77,27808026.0,8383147.0,2011-09-26,600288,SH
416,116187582.0,80707740.0,8.8,9.05,8.76,8.9,35479842.0,13070454.0,2011-09-27,600288,SH
417,50598974.0,19309212.5,8.33,8.83,8.3,8.75,31289761.5,5931529.0,2011-09-28,600288,SH
418,26582327.0,13090453.0,8.07,8.31,8.04,8.31,13491874.0,3259507.0,2011-09-29,600288,SH
419,27256292.0,15685375.0,8.11,8.27,8.04,8.08,11570917.0,3360430.0,2011-09-30,600288,SH
420,31464300.0,16829051.0,8.15,8.25,8.01,8.11,14635249.0,3861966.0,2011-10-10,600288,SH
421,35887284.0,13500924.0,8.14,8.4,7.99,8.34,22386360.0,4395366.0,2011-10-11,600288,SH
422,39652476.0,22936191.0,8.32,8.38,7.95,8.05,16716285.0,4819598.0,2011-10-12,600288,SH
423,44897495.0,23366899.0,8.39,8.5,8.3,8.35,21530596.0,5338146.0,2011-10-13,600288,SH
424,29664763.0,14470163.5,8.31,8.39,8.16,8.39,15194599.5,3588130.0,2011-10-14,600288,SH
425,43048261.0,27924692.0,8.45,8.48,8.25,8.3,15123569.0,5130194.0,2011-10-17,600288,SH
426,112990364.0,69933621.0,8.68,8.75,8.31,8.36,43056743.0,13222556.0,2011-10-18,600288,SH
427,76344196.0,41591294.0,8.62,8.7,8.52,8.7,34752902.0,8857091.0,2011-10-19,600288,SH
428,90951824.0,58801381.0,8.1,8.58,8.07,8.5,32150443.0,10991505.0,2011-10-20,600288,SH
429,50854235.0,26522829.0,8.38,8.88,8.02,8.12,24331406.0,6124786.0,2011-10-21,600288,SH
430,102395843.0,76064318.0,8.38,8.49,8.08,8.28,26331525.0,12367676.0,2011-10-24,600288,SH
431,103326484.0,69865549.0,8.51,8.58,8.16,8.3,33460935.0,12404665.0,2011-10-25,600288,SH
432,111058819.0,64246144.0,8.59,8.76,8.32,8.44,46812675.0,13016855.0,2011-10-26,600288,SH
433,60332050.0,26454062.0,8.55,8.68,8.5,8.52,33877988.0,7028729.0,2011-10-27,600288,SH
434,112399388.0,48697243.5,8.51,8.67,8.31,8.61,63702144.5,13295512.0,2011-10-28,600288,SH
435,58703004.0,28443353.5,8.59,8.6,8.41,8.47,30259650.5,6894959.0,2011-10-31,600288,SH
436,50978673.0,22528671.5,8.53,8.63,8.43,8.53,28450001.5,5964957.0,2011-11-01,600288,SH
437,96456537.0,52680884.5,8.7,8.74,8.19,8.35,43775652.5,11351263.0,2011-11-02,600288,SH
438,157536250.0,89529945.0,8.8,9.11,8.73,8.73,68006305.0,17616114.0,2011-11-03,600288,SH
439,111401109.0,53812260.0,8.96,9.13,8.69,8.85,57588849.0,12461642.0,2011-11-04,600288,SH
440,62568339.0,30018420.0,8.94,9.06,8.82,8.94,32549919.0,6992207.0,2011-11-07,600288,SH
441,60868163.0,25359822.5,8.72,8.94,8.65,8.91,35508340.5,6925061.0,2011-11-08,600288,SH
442,93442029.0,54563670.0,9.08,9.1,8.61,8.72,38878359.0,10487546.0,2011-11-09,600288,SH
443,77478609.0,34594916.0,8.81,9.09,8.8,8.95,42883693.0,8647989.0,2011-11-10,600288,SH
444,106943702.0,57180400.0,9.03,9.22,8.82,8.84,49763302.0,11792962.0,2011-11-11,600288,SH
445,83604359.0,46196503.0,9.11,9.24,9.02,9.13,37407856.0,9175055.0,2011-11-14,600288,SH
446,70850802.0,30548977.0,9.07,9.17,8.96,9.12,40301825.0,7834606.0,2011-11-15,600288,SH
447,195155357.0,108934535.0,9.17,9.4,9.02,9.08,86220822.0,21114245.0,2011-11-16,600288,SH
448,76861765.0,40020380.0,9.1,9.24,9.01,9.16,36841385.0,8417024.0,2011-11-17,600288,SH
449,106951822.0,47017977.0,8.47,9.02,8.4,9.0,59933845.0,12235101.0,2011-11-18,600288,SH
450,38543819.0,15797385.0,8.41,8.54,8.3,8.5,22746434.0,4605846.0,2011-11-21,600288,SH
451,24237544.0,10697997.0,8.41,8.48,8.26,8.4,13539547.0,2892433.0,2011-11-22,600288,SH
452,36647448.0,14560743.0,8.18,8.48,8.17,8.42,22086705.0,4418686.0,2011-11-23,600288,SH
453,31621337.0,17099387.0,8.18,8.24,8.02,8.16,14521950.0,3893896.0,2011-11-24,600288,SH
454,28658765.0,11233241.0,8.03,8.24,8.0,8.17,17425524.0,3534468.0,2011-11-25,600288,SH
455,20319070.0,9965189.0,8.08,8.15,8.0,8.0,10353881.0,2513979.0,2011-11-28,600288,SH
456,29249207.0,16782523.0,8.26,8.29,8.05,8.16,12466684.0,3578396.0,2011-11-29,600288,SH
457,41711644.0,15651569.0,7.67,8.26,7.64,8.26,26060075.0,5267682.0,2011-11-30,600288,SH
458,41088754.0,21715145.5,7.79,8.0,7.78,7.93,19373608.5,5211534.0,2011-12-01,600288,SH
459,27810572.0,11427927.0,7.44,7.81,7.43,7.72,16382645.0,3668802.0,2011-12-02,600288,SH
460,23226913.0,8182265.0,7.23,7.54,7.23,7.45,15044648.0,3172380.0,2011-12-05,600288,SH
461,14011414.0,7360427.0,7.26,7.31,7.16,7.24,6650987.0,1937418.0,2011-12-06,600288,SH
462,10889896.0,4140292.0,7.24,7.35,7.21,7.29,6749604.0,1497178.0,2011-12-07,600288,SH
463,21895303.0,10955638.0,7.31,7.36,7.09,7.25,10939665.0,3024872.0,2011-12-08,600288,SH
464,11879166.0,4130866.0,7.18,7.3,7.14,7.2,7748300.0,1649537.0,2011-12-09,600288,SH
465,14490494.0,4902972.0,7.0,7.19,6.98,7.18,9587522.0,2042255.0,2011-12-12,600288,SH
466,21684820.0,8952302.0,6.56,6.98,6.51,6.98,12732518.0,3242376.0,2011-12-13,600288,SH
467,27612472.0,11196323.0,6.11,6.41,6.1,6.41,16416149.0,4433458.0,2011-12-15,600288,SH
468,16151901.0,8922872.0,6.3,6.35,6.1,6.1,7229029.0,2601963.0,2011-12-16,600288,SH
469,13771165.0,6523381.0,6.29,6.31,6.0,6.22,7247784.0,2226406.0,2011-12-19,600288,SH
470,16071222.0,6169481.0,6.2,6.34,6.18,6.23,9901741.0,2566812.0,2011-12-20,600288,SH
471,19953857.0,7241263.5,6.05,6.34,6.0,6.25,12712593.5,3207872.0,2011-12-21,600288,SH
472,17524147.0,8105761.5,5.79,6.01,5.66,5.99,9418385.5,3011767.0,2011-12-22,600288,SH
473,19041468.0,8329313.0,5.83,5.93,5.76,5.84,10712155.0,3253466.0,2011-12-23,600288,SH
474,16816984.0,8594363.0,5.91,6.07,5.82,5.86,8222621.0,2816122.0,2011-12-26,600288,SH
475,10948127.0,4960398.0,5.73,5.95,5.72,5.85,5987729.0,1878593.0,2011-12-27,600288,SH
476,12108793.0,5115948.0,5.66,5.74,5.49,5.71,6992845.0,2157160.0,2011-12-28,600288,SH
477,16746267.0,10133551.5,5.77,5.82,5.62,5.67,6612715.5,2916431.0,2011-12-29,600288,SH
478,20130974.0,7945649.0,5.9,5.92,5.77,5.78,12185325.0,3442227.0,2011-12-30,600288,SH
479,21397829.0,7020340.5,5.61,6.01,5.58,5.95,14377488.5,3692998.0,2012-01-04,600288,SH
480,32876263.0,13150774.0,5.18,5.67,5.05,5.57,19725489.0,6196090.0,2012-01-05,600288,SH
481,14152109.0,6348831.5,5.22,5.25,5.02,5.15,7803277.5,2762993.0,2012-01-06,600288,SH
482,16211726.0,9092573.0,5.47,5.49,5.12,5.2,7119153.0,3022338.0,2012-01-09,600288,SH
483,32843653.0,17626671.0,5.78,5.79,5.47,5.47,15216982.0,5802523.0,2012-01-10,600288,SH
484,70806926.0,34053442.0,6.0,6.12,5.7,5.74,36753484.0,11825548.0,2012-01-11,600288,SH
485,28423891.0,13044464.0,5.95,6.07,5.91,5.96,15379427.0,4759466.0,2012-01-12,600288,SH
